"Season","Week","SeasonType","StartDate","StartTimeTBD","Completed","HomeId","HomeTeam","HomeClassification","HomeConference","HomePoints","HomeLineScores","HomePostgameWinProbability","HomePregameElo","HomePostgameElo","AwayId","AwayTeam","AwayClassification","AwayConference","AwayPoints","AwayLineScores","AwayPostgameWinProbability","AwayPregameElo","AwayPostgameElo","ExcitementIndex","Highlights","Notes"
"2025","1","regular","2025-08-30T00:00:00.000Z","false","true","38","Colorado","fbs","Big 12","20","7,3,3,7","0.19433777034282684","1634","1613","59","Georgia Tech","fbs","ACC","27","0,13,7,7","0.8056622296571732","1536","1557","5.409469095229784","",""
"2025","1","regular","2025-08-30T00:00:00.000Z","false","true","239","Baylor","fbs","Big 12","24","3,7,7,7","0.3652919828891754","1604","1569","2","Auburn","fbs","SEC","38","7,10,14,7","0.6347080171108246","1574","1609","5.207606567811596","",""
"2025","1","regular","2025-08-30T01:30:00.000Z","false","true","2534","Sam Houston","fbs","Conference USA","21","7,0,0,14","0.03245411068201065","1411","1397","2439","UNLV","fbs","Mountain West","38","14,10,7,7","0.9675458893179893","1619","1633","3.6618211785683403","",""
"2025","1","regular","2025-08-30T02:30:00.000Z","false","true","23","San José State","fbs","Mountain West","14","0,7,7,0","0.12722167372703552","1484","1467","2117","Central Michigan","fbs","Mid-American","16","10,3,0,3","0.8727783262729645","1235","1252","6.0997865114863705","",""
"2025","1","regular","2025-08-30T04:00:00.000Z","true","true","2249","Glenville State","ii","Mountain East","17","0,10,7,0","","","","2213","Emory & Henry College","ii","South Atlantic","45","14,10,7,14","","","","","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","221","Pittsburgh","fbs","ACC","61","14,20,14,13","0.9959656000137329","1470","1470","2184","Duquesne","fcs","NEC","9","0,6,0,3","0.00403439998626709","","","3.47575245890134","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2655","Tulane","fbs","American Athletic","23","7,13,3,0","0.9883838891983032","1616","1644","77","Northwestern","fbs","Big Ten","3","3,0,0,0","0.011616110801696777","1431","1403","3.4735579019831504","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2309","Kent State","fbs","Mid-American","21","0,7,7,7","0.7979961633682251","1006","1006","2771","Merrimack","fcs","FCS Independents","17","0,3,3,11","0.2020038366317749","","","5.481133614709961","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2509","Purdue","fbs","Big Ten","31","14,7,7,3","0.988307774066925","1207","1293","2050","Ball State","fbs","Mid-American","0","0,0,0,0","0.011692225933074951","1224","1138","2.588454535328131","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2633","Tennessee","fbs","SEC","45","17,14,7,7","0.9442566633224487","1776","1799","183","Syracuse","fbs","ACC","26","0,14,6,6","0.05574333667755127","1499","1476","4.3399094147520065","","Aflac Kickoff"
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2329","Lehigh","fcs","Patriot","21","0,7,7,7","0.8636404275894165","","","257","Richmond","fcs","Patriot","14","7,0,7,0","0.1363595724105835","","","5.797512358947201","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","120","Maryland","fbs","Big Ten","39","7,26,6,0","0.9894888997077942","1438","1509","2226","Florida Atlantic","fbs","American Athletic","7","7,0,0,0","0.01051110029220581","1311","1240","4.6495327038332155","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2105","Carson-Newman College","ii","South Atlantic","41","7,14,7,13","","","","2707","West Virginia State","ii","Mountain East","10","3,0,0,7","","","","","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","367","Gannon","ii","Pennsylvania State Athletic","12","6,0,0,6","","","","110254","Davenport","ii","GLIAC","21","7,7,7,0","","","","","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","194","Ohio State","fbs","Big Ten","14","0,7,0,7","0.750937283039093","1974","1977","251","Texas","fbs","SEC","7","0,0,0,7","0.24906271696090698","1861","1858","3.8398377534422923","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2643","The Citadel","fcs","Southern","0","0,0,0,0","0.01062143687158823","","","2449","North Dakota State","fcs","MVFC","38","0,17,14,7","0.9893785631284118","","","2.445577702992695","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2572","Southern Miss","fbs","Sun Belt","17","3,7,0,7","0.0314677357673645","1119","1107","344","Mississippi State","fbs","SEC","34","10,3,21,0","0.9685322642326355","1412","1424","4.441994027739813","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2560","Shorter","ii","Carolinas","7","0,7,0,0","","","","129469","Anderson (Sc)","ii","South Atlantic","34","0,7,20,7","","","","","",""
"2025","1","regular","2025-08-30T16:00:00.000Z","false","true","2426","Navy","fbs","American Athletic","52","7,21,10,14","0.996229350566864","1543","1543","2678","VMI","fcs","Southern","7","0,0,7,0","0.0037706494331359863","","","2.789700254532362","",""
"2025","1","regular","2025-08-30T16:45:00.000Z","false","true","96","Kentucky","fbs","SEC","24","7,3,0,14","1","1498","1507","2649","Toledo","fbs","Mid-American","16","0,2,0,14","0","1454","1445","4.645077771761659","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","2119","Central State (OH)","ii","SIAC","24","0,16,0,8","","","","2310","Kentucky State","ii","SIAC","34","0,10,10,14","","","","","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","126086","Post University","ii","Northeast 10","51","13,17,0,21","","","","455","West Virginia Wesleyan","ii","Mountain East","14","0,0,14,0","","","","","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","125","Grand Valley State University","ii","GLIAC","45","14,7,14,10","","","","2339","Lincoln (PA)","ii","CIAA","9","6,3,0,0","","","","","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","2635","Tennessee Tech","fcs","Big South-OVC","65","21,24,7,13","0.9872741103172302","","","2161","Cumberland (TN)","","","0","0,0,0,0","0.012725889682769775","","","3.015171231902782","",""
"2025","1","regular","2025-08-30T17:00:00.000Z","false","true","2551","Shaw","ii","CIAA","7","0,7,0,0","","","","2013","Albany State GA","ii","SIAC","51","17,14,13,7","","","","","",""
