rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
447,39,Grove City,iii,Presidents',-11.839057,0,2,0,-2.089071
448,130,McKendree,ii,Great Lakes,-11.900669,1,2,0,5.171934
449,131,Fort Lewis,ii,Rocky Mountain,-12.06065,2,1,1,-10.992464
450,132,William Jewell,ii,Great Lakes,-12.190068,2,0,1,-24.163126
451,40,Pacific Lutheran,iii,Northwest,-12.362695,1,2,0,-0.259142
452,41,Ohio Northern,iii,Ohio,-12.372237,2,1,0,-22.927779
453,42,Franklin & Marshall,iii,Centennial,-12.388341,3,0,0,-37.529136
454,128,Chicago State,fcs,FCS Independents,-12.698201,1,3,0,-1.071467
455,133,Glenville State,ii,Mountain East,-13.033798,1,2,0,5.242542
456,43,John Carroll,iii,Ohio,-13.132445,3,0,0,-37.882457
457,44,Hobart,iii,Liberty League,-13.152916,2,1,0,-18.402928
458,134,Livingstone,ii,CIAA,-13.247034,2,2,0,-6.497015
459,135,Millersville,ii,Pennsylvania State Athletic,-13.258238,0,3,0,7.49226
460,136,Ferrum,ii,Carolinas,-13.279117,0,3,0,2.804784
461,45,Berry,iii,Southern Athletic,-13.476799,3,0,0,-28.560144
462,46,Rowan,iii,New Jersey,-13.691729,1,1,0,-17.191592
463,47,Dickinson,iii,Centennial,-13.745132,2,1,0,-20.958081
464,48,Texas Lutheran,iii,Southern Collegiate Athletic,-13.800586,2,1,0,-19.716983
465,49,Bowdoin,iii,NESCAC,-14.447399,0,1,0,-1.69694
466,137,Indianapolis,ii,Great Lakes,-14.452502,1,3,0,-11.905771
467,138,Morehouse,ii,SIAC,-14.767945,1,3,0,-5.892957
468,50,Bethany (WV),iii,Presidents',-15.341493,2,1,0,-17.022206
469,51,Union,iii,Liberty League,-15.437318,1,2,0,-10.853996
470,15,Lackawanna,unknown,Independent,-15.46791,0,2,0,6.282075
471,16,Andrew,unknown,Independent,-15.662856,0,1,0,15.08712
472,139,Wayne State (MI),ii,GLIAC,-15.710998,0,3,0,15.03924
473,140,UVA Wise,ii,South Atlantic,-15.745537,0,4,0,2.066302
474,52,Hanover,iii,Heartland,-15.959554,2,1,0,-22.968018
475,17,Thomas,unknown,Independent,-16.158008,0,1,0,14.591962
476,53,Randolph Macon,iii,Old Dominion,-16.482608,2,1,0,-24.73262
477,54,Muhlenberg,iii,Centennial,-16.864804,2,1,0,-22.114882
478,55,Bethel (MN),iii,Minnesota,-16.943208,1,1,0,-20.314799
479,56,Sewanee,iii,Southern Athletic,-17.051252,1,2,0,-9.12738
480,141,Lincoln (PA),ii,CIAA,-17.656823,0,3,0,-2.010029
