Team,MasseyRating
Hampden-Sydney,-15.72547248668922
Springfield,-15.915455904844967
Greeneville,-15.920668319153162
Shippensburg,-16.28913528621051
Bowdoin,-16.415336333350332
Wisconsin-Eau Claire,-16.41759361618183
Roosevelt,-16.42271901118896
Concordia Moorhead,-16.49168913493734
Gustavus Adolphus,-16.528416241877075
Gannon,-16.585814354944276
Wayland Baptist,-16.840864481742294
Westminster (PA),-16.87438990166551
Endicott College,-16.98619644463061
Miles College,-17.33528781774773
Brevard College,-17.465800932949485
Lincoln (CA),-17.567464397454042
Huntingdon College (AL),-17.583674558289324
Illinois Wesleyan,-17.70322672874918
St. Anselm,-18.00319551709375
Concord University,-18.207694234458636
Ursinus,-18.229559474704526
Saint Xavier (IL),-18.3017447883481
Monmouth (IL),-18.32532239509851
Belhaven,-18.506862781640844
Dickinson (PA),-18.52755444772763
Sul Ross State,-18.539989940237703
Shorter,-18.6225037881288
Wisconsin-Stevens Pt,-18.8387966819713
Midland Lutheran College,-18.856286759263234
Chowan,-19.221526006993244
Brockport,-19.41672751363557
Texas Lutheran,-19.501272075367908
Eastern University,-19.549459602961324
Rensselaer,-19.905744700142105
Ithaca College,-19.97236790146623
West Liberty,-20.01742066710647
Lincoln (MO),-20.144387293237244
Heidelberg,-20.20160375756741
Delaware Valley,-20.203991888809636
Wayne State (MI),-20.44132926032107
Mount St. Joseph,-20.469562309929447
Calvin University,-20.48660592951564
Fort Lewis,-20.62655855661592
Simpson College (IA),-20.957966342918002
Shaw,-21.157165023904827
Carroll University (WI),-21.32465838661373
Washington and Lee,-21.619077359143965
American International,-21.627362982809146
McMurry,-21.652939337546353
Jamestown College,-21.743244609265602
Marietta,-21.74382291253619
Western New Mexico,-21.776400104083343
Southern Connecticut State,-21.791659239130173
Union (NY),-21.863294967205633
College Of New Jersey,-21.91568366540958
Aurora,-22.028335870940047
Lewis & Clark College,-22.202000315118838
Pacific Lutheran,-22.328355129580004
Howard Payne,-22.590875810479407
Concordia University St Paul,-22.74696378309093
Louisiana College,-22.929156953017966
California Lutheran University,-23.07425155225848
Post University,-23.167689420407786
Wilson,-23.248781733818603
Florida Memorial University,-23.320743101744952
Kentucky Wesleyan,-23.346746762936057
Hendrix College,-23.98652453626516
Southwestern University,-24.17217960924998
Lebanon Valley,-24.499755035187263
Bluefield State,-24.5060802918184
Misericordia,-24.52910135392199
Shenandoah,-24.54066465248573
Pomona Pitzer,-24.60762012010355
Wilkes,-24.71211474787084
Augsburg,-24.901079041121726
Stevenson,-24.982409265387396
Madonna University (Mich.),-24.99666736388083
Point University,-25.210100892998167
Denison University,-25.27810997428534
Trine University,-25.362448579847033
Ferrum,-25.45935221707565
Wittenberg,-25.47282385511288
Carthage,-25.541305467434313
Redlands,-25.63549123959617
Case Western Reserve,-25.74000116242976
Muskingum University,-25.78140449795414
Dubuque,-25.79419875963681
Millersville,-25.804859712544122
Lycoming,-26.179202351175988
Southwest Minnesota State,-26.324494086095612
Claremont-Mudd-Scripps College,-26.44311592574948
Hobart College,-26.45813686931452
East Texas Baptist University,-26.626407231468942
Montclair State,-27.037819000706882
Concordia-Wisconsin,-27.213909888107356
Coast Guard,-27.520077752555125
ERSKINE,-27.595196758845194
St John Fisher University,-27.631864066928458
Lane College,-27.653510680461665
Mayville State,-27.934218828424648
Southwestern Assemblies Of God,-28.016817651379657
Southern Virginia,-28.065482465984463
Sewanee,-28.239162612543417
Salve Regina,-28.33795702871145
Benedictine University,-28.453785266248804
Pace,-28.735472703394986
Merchant Marine Academy,-29.162824734148852
North Park,-29.86286573075953
Western Connecticut St,-29.96112908698657
Lincoln (PA),-30.08026926986865
Loras College,-30.219896951555295
Bridgewater (VA),-30.30700346215555
Wilmington (OH),-30.595242658507296
Adams State,-30.695254402463583
Virginia University Of Lynchburg,-30.753393543872786
Franklin,-30.808963740175127
Geneva,-30.83437709905003
Macalester,-30.910620348653772
Lake Forest College,-30.92935923758067
St. Olaf,-31.08940164972645
Kings College (PA),-31.1960808059695
North Carolina Wesleyan,-31.360677120205818
Capital,-31.502288194421936
NEWBERG,-31.516013216270903
Pacific (OR),-31.91201408323648
Biddeford,-31.960058196461603
MIT,-32.25399301858674
Chicago,-32.25401395738572
Curry College,-32.421269679528045
St. Scholastica,-32.48524416013255
Albion,-32.88848664223967
Albright,-33.25968728572557
Western New England,-33.30751981279931
Ohio Wesleyan,-33.38690543133446
University of Rochester (NY),-33.61426799939713
Millikin,-33.662684865490014
SUNY Maritime,-33.7332119000245
Illinois College,-33.81754924579768
Kalamazoo,-33.82964900891518
Wooster,-34.18489118172222
Roanoke College,-34.638958424243185
Central Methodist,-35.222400862427335
Nebraska Wesleyan,-35.37822200537171
St. Norbert,-35.500044099181096
Wisconsin-Lutheran,-35.54097487447373
Crown College,-35.90082669324537
Lakeland,-35.91252017855641
Alfred University,-35.94771916000696
Greensboro College,-36.55124839978144
Little Rock,-36.57720212446761
William Paterson,-36.75258435599362
Alfred State,-36.785216861153906
La Verne,-36.8046209055133
Rhodes College,-37.60206771876564
Widener,-37.733279662082595
Rose-Hulman,-38.28070042740348
Bluffton,-38.348896914221115
Kean,-38.75480902806037
McDaniel College,-38.88768549728342
Buena Vista,-39.023148914451
West Virginia Wesleyan,-39.285750654600385
Gettysburg,-39.74434648577386
Allegheny,-39.794959009475484
Warner University,-39.8188497695574
Waynesburg,-40.054633830991165
Moravian,-41.1064128727172
Northwestern (MN),-41.88653534781894
Catholic,-42.02533095528745
St. Lawrence,-42.30094918047941
Otterbein,-42.8085619315884
UMass Dartmouth,-42.94370166995448
Martin Luther,-42.98789583893131
Husson,-43.159758491363256
Anna Maria College,-43.46296704996518
Plymouth State,-43.741160420958934
Guilford College,-43.97322944376845
Elmhurst,-44.04071079506746
Olivet College,-44.75096610850323
Hamline University,-45.26817898320532
FDU-Florham,-45.4334106793654
Kenyon,-45.617098815175616
Puget Sound,-45.73824519533587
Willamette,-45.780709846879994
Hartwick,-45.792556725929984
Austin,-46.04791284838245
Methodist,-46.15685813171281
Greenville,-46.20291824186114
LYONCOLL,-46.2063592645693
Ripon,-46.38066515047727
Framingham State,-47.24574901254115
SUNY Morrisville,-47.32166612737464
Saint Vincent,-47.91246759707428
Bridgewater State,-47.93077668415141
Hiram College,-48.40024432730978
Castleton,-48.71431201778526
Westminster College (MO),-48.83923177420738
Juniata College,-48.93771799530126
Mass Maritime,-49.231801538681296
Minnesota Morris,-49.4512087589096
Worcester Polytechnic Institute,-49.69938896173153
Cornell College (IA),-49.89337381757271
Thiel,-50.795926270430755
Simpson University (Ca),-51.06176035465624
Averett,-51.18975328131225
Phoenix,-51.35613292315264
Grinnell,-51.63501160425845
Keystone,-51.80322929710128
Gallaudet,-52.07728745059942
Concordia University Chicago,-52.19638137384029
Luther,-52.63559073484815
CENTENARY,-52.941807574272204
Buffalo State,-53.034317290679894
Anderson (IN),-53.875839590579616
Reading,-54.56754034880553
Apprentice School,-54.60844467878741
Fitchburg State,-55.150195687315446
Worcester St,-55.622734308472175
Oberlin,-56.63022701519133
Manchester,-56.974348545578096
Westfield State,-57.1142399459559
Oklahoma Panhandle St,-57.35607456450441
Nichols College,-57.59482877343587
Norwich,-58.771348789486666
Bethany (WV),-61.1091374611511
Hilbert College,-62.09123958624971
Eureka College,-62.63021974299021
Rockford,-62.78892049860448
Knox College,-62.86256355648227
Beloit,-62.89989480797158
New England College,-68.109345959306
Lawrence University,-69.1951795587257
Maine Maritime,-72.551641690789
Dean College,-77.1023220410274
