"Id","Season","Week","SeasonType","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"401767565","2025","2","regular","true","Furman","38","Presbyterian","39"
"401762462","2025","2","regular","true","Temple","55","Howard","7"
"401773767","2025","2","regular","true","Augustana University (SD)","37","Jamestown College","7"
"401777134","2025","2","regular","true","Wittenberg","13","Baldwin Wallace","31"
"401777045","2025","2","regular","true","St. Norbert","21","Wabash College","55"
"401754620","2025","2","regular","true","Wake Forest","42","Western Carolina","10"
"401767224","2025","2","regular","true","Tennessee State","3","North Dakota State","59"
"401773407","2025","2","regular","true","Lane College","15","Lincoln (MO)","27"
"401778022","2025","2","regular","true","Willamette","17","Pomona Pitzer","41"
"401773994","2025","2","regular","true","Clark Atlanta","17","Florida Memorial University","12"
"401760366","2025","2","regular","true","New Mexico","32","Idaho State","22"
"401756881","2025","2","regular","true","Colorado","31","Delaware","7"
"401756880","2025","2","regular","true","Cincinnati","34","Bowling Green","20"
"401762794","2025","2","regular","true","Buffalo","45","St. Francis (PA)","6"
"401752818","2025","2","regular","true","Rutgers","45","Miami (OH)","17"
"401762816","2025","2","regular","true","Massachusetts","26","Bryant","27"
"401754622","2025","2","regular","true","Georgia Tech","59","Gardner-Webb","12"
"401752685","2025","2","regular","true","Georgia","28","Austin Peay","6"
"401752815","2025","2","regular","true","Ohio State","70","Grambling","0"
"401752824","2025","2","regular","true","Oregon","69","Oklahoma State","3"
"401752937","2025","2","regular","true","Oregon State","27","Fresno State","36"
"401761603","2025","2","regular","true","UTSA","36","Texas State","43"
"401761596","2025","2","regular","true","App State","20","Lindenwood","13"
"401762458","2025","2","regular","true","Navy","38","UAB","24"
"401752689","2025","2","regular","true","Missouri","42","Kansas","31"
"401767579","2025","2","regular","true","Samford","13","The Citadel","40"
"401762461","2025","2","regular","true","Western Michigan","30","North Texas","33"
"401752692","2025","2","regular","true","Tennessee","72","East Tennessee State","17"
"401754637","2025","2","regular","true","Clemson","27","Troy","16"
"401752686","2025","2","regular","true","Kentucky","23","Ole Miss","30"
"401774024","2025","2","regular","true","Edward Waters","46","Miles College","14"
"401774175","2025","2","regular","true","Linfield College","14","Wisconsin-Oshkosh","31"
"401777166","2025","2","regular","true","Puget Sound","20","Lewis & Clark College","56"
"401777159","2025","2","regular","true","California Lutheran University","18","Pacific Lutheran","15"
"401767089","2025","2","regular","true","Idaho","37","St. Thomas (MN)","30"
"401776766","2025","2","regular","true","Whitworth","23","Gustavus Adolphus","10"
"401752820","2025","2","regular","true","Wisconsin","42","Middle Tennessee","10"
"401756883","2025","2","regular","true","Ohio","17","West Virginia","10"
"401760367","2025","2","regular","true","Wyoming","31","Northern Iowa","7"
"401773593","2025","2","regular","true","Western Oregon","27","Southern Oregon","7"
"401752684","2025","2","regular","true","Florida","16","South Florida","18"
"401774140","2025","2","regular","true","Western Connecticut St","21","William Paterson","20"
"401761602","2025","2","regular","true","Southern Miss","38","Jackson State","20"
"401752682","2025","2","regular","true","Arkansas","56","Arkansas State","14"
"401767112","2025","2","regular","true","Northern Arizona","38","Utah Tech","31"
"401760365","2025","2","regular","true","Nevada","20","Sacramento State","17"
"401767189","2025","2","regular","true","William & Mary","28","Maine","27"
"401767149","2025","2","regular","true","Elon","55","Davidson","7"
"401767277","2025","2","regular","true","Eastern Kentucky","20","Houston Christian","10"
"401773080","2025","2","regular","true","UNC Pembroke","31","Fayetteville State","24"
"401773950","2025","2","regular","true","Greeneville","7","Lenoir-Rhyne","28"
"401773094","2025","2","regular","true","Allen","17","Livingstone","28"
"401774111","2025","2","regular","true","Worcester Polytechnic Institute","9","Rensselaer","26"
"401767593","2025","2","regular","true","Wofford","10","Richmond","14"
"401773685","2025","2","regular","true","Lock Haven University","16","Glenville State","13"
"401773955","2025","2","regular","true","UVA Wise","24","Newberry","31"
"401774335","2025","2","regular","true","Berry College","58","Huntingdon College (AL)","28"
"401767336","2025","2","regular","true","Villanova","24","Colgate","17"
"401767652","2025","2","regular","true","Stetson","59","Warner University","13"
"401767257","2025","2","regular","true","Fordham","28","Monmouth","49"
"401777102","2025","2","regular","true","Wilmington (OH)","59","Wooster","35"
"401754530","2025","2","regular","true","California","35","Texas Southern","3"
"401773704","2025","2","regular","true","Wheeling","15","Walsh","31"
"401767317","2025","2","regular","true","Stony Brook","17","Rhode Island","31"
