HomeTeam,AwayTeam,HomePoints,AwayPoints,ActualSpread,Spread,Line,Result
Roanoke College,Gallaudet,38.0,14.0,24.0,8.0,Roanoke College -8.0,Correct
UVA Wise,Greeneville,35.0,21.0,14.0,-8.0,Greeneville -8.0,Wrong
Washburn,Nebraska-Kearney,24.0,31.0,-7.0,-21.0,Nebraska-Kearney -21.0,Correct
Central Missouri,Missouri Southern State,62.0,10.0,52.0,-3.5,Missouri Southern State -3.5,Wrong
Upper Iowa University,Lincoln (MO),31.0,10.0,21.0,5.0,Upper Iowa University -5.0,Correct
Central College,Dubuque,35.0,16.0,19.0,13.5,Central College -13.5,Correct
Westfield State,Worcester St,31.0,22.0,9.0,-6.5,Worcester St -6.5,Wrong
Allegheny,Geneva,16.0,28.0,-12.0,-1.5,Geneva -1.5,Correct
Averett,Bridgewater (VA),14.0,41.0,-27.0,-30.5,Bridgewater (VA) -30.5,Correct
St John Fisher University,Alfred University,21.0,7.0,14.0,-8.5,Alfred University -8.5,Wrong
Hillsdale,Kentucky Wesleyan,44.0,0.0,44.0,14.0,Hillsdale -14.0,Correct
Wisconsin-Lutheran,Concordia University Chicago,28.0,6.0,22.0,-9.0,Concordia University Chicago -9.0,Wrong
Minot State,Bemidji State,28.0,21.0,7.0,0.0,Pick'em,Wrong
St. Scholastica,Macalester,37.0,34.0,3.0,2.0,St. Scholastica -2.0,Correct
Olivet College,Adrian,27.0,59.0,-32.0,-17.5,Adrian -17.5,Correct
Carleton,St. Olaf,35.0,28.0,7.0,11.0,Carleton -11.0,Correct
Augustana University (SD),Winona State,34.0,26.0,8.0,13.0,Augustana University (SD) -13.0,Correct
Texas Lutheran,East Texas Baptist University,21.0,24.0,-3.0,4.0,Texas Lutheran -4.0,Wrong
Richmond,Howard,13.0,12.0,1.0,5.5,Richmond -5.5,Correct
Augustana (IL),Millikin,33.0,6.0,27.0,-2.0,Millikin -2.0,Wrong
North Dakota State,South Dakota,51.0,13.0,38.0,20.0,North Dakota State -20.0,Correct
Bethany (WV),Case Western Reserve,0.0,55.0,-55.0,-47.5,Case Western Reserve -47.5,Correct
Wartburg,Coe College,17.0,7.0,10.0,-1.5,Coe College -1.5,Wrong
Northwest Missouri St,Central Oklahoma,38.0,16.0,22.0,10.5,Northwest Missouri St -10.5,Correct
Truman State,Indianapolis,20.0,30.0,-10.0,-27.0,Indianapolis -27.0,Correct
Minnesota State Mankato,Sioux Falls,38.0,12.0,26.0,1.0,Minnesota State Mankato -1.0,Correct
UL Monroe,Arkansas State,28.0,16.0,12.0,-8.0,Arkansas State -8.0,Wrong
Western Colorado,New Mexico Highlands,30.0,3.0,27.0,19.5,Western Colorado -19.5,Correct
Tuskegee,Fort Valley State,20.0,27.0,-7.0,0.5,Tuskegee -0.5,Wrong
University of Mary,Northern State,14.0,55.0,-41.0,-20.0,Northern State -20.0,Correct
McKendree,William Jewell,40.0,24.0,16.0,-13.5,William Jewell -13.5,Wrong
McMurry,Howard Payne,31.0,24.0,7.0,-27.5,Howard Payne -27.5,Wrong
Northern Colorado,Idaho State,18.0,26.0,-8.0,16.0,Northern Colorado -16.0,Wrong
Florida A&M,Alabama State,14.0,42.0,-28.0,-12.0,Alabama State -12.0,Correct
Thiel,Waynesburg,14.0,45.0,-31.0,-16.0,Waynesburg -16.0,Correct
Clark Atlanta,Benedict College,24.0,59.0,-35.0,-9.5,Benedict College -9.5,Correct
Black Hills State,Colorado School Of Mines,27.0,36.0,-9.0,-3.0,Colorado School Of Mines -3.0,Correct
South Dakota State,Mercyhurst,51.0,7.0,44.0,28.5,South Dakota State -28.5,Correct
Chadron St,Colorado Mesa,34.0,27.0,7.0,-6.0,Colorado Mesa -6.0,Wrong
College Of New Jersey,Juniata College,35.0,0.0,35.0,22.0,College Of New Jersey -22.0,Correct
Bethune-Cookman,Alabama A&M,41.0,34.0,7.0,3.5,Bethune-Cookman -3.5,Correct
Morgan State,Miles College,24.0,17.0,7.0,28.5,Morgan State -28.5,Correct
Maine,North Carolina A&T,37.0,30.0,7.0,7.5,Maine -7.5,Correct
West Virginia,Utah,14.0,48.0,-34.0,-16.5,Utah -16.5,Correct
Campbell,Western Carolina,35.0,42.0,-7.0,6.5,Campbell -6.5,Wrong
Miami (OH),Lindenwood,38.0,0.0,38.0,3.0,Miami (OH) -3.0,Correct
Buffalo,UConn,17.0,20.0,-3.0,-15.5,UConn -15.5,Correct
Texas A&M,Auburn,16.0,10.0,6.0,10.0,Texas A&M -10.0,Correct
Ole Miss,LSU,24.0,19.0,5.0,2.5,Ole Miss -2.5,Correct
Oklahoma State,Baylor,27.0,45.0,-18.0,-17.5,Baylor -17.5,Correct
Stony Brook,Merrimack,35.0,10.0,25.0,-8.0,Merrimack -8.0,Wrong
Washington,Ohio State,6.0,24.0,-18.0,6.5,Washington -6.5,Wrong
Iowa,Indiana,15.0,20.0,-5.0,-32.0,Indiana -32.0,Correct
Northern Illinois,San Diego State,3.0,6.0,-3.0,-12.5,San Diego State -12.5,Correct
Toledo,Akron,45.0,3.0,42.0,20.5,Toledo -20.5,Correct
Navy,Rice,21.0,13.0,8.0,18.0,Navy -18.0,Correct
Samford,Furman,13.0,31.0,-18.0,-30.0,Furman -30.0,Correct
Villanova,William & Mary,31.0,24.0,7.0,-6.5,William & Mary -6.5,Wrong
Lafayette,Princeton,28.0,38.0,-10.0,21.0,Lafayette -21.0,Wrong
Northwestern,UCLA,17.0,14.0,3.0,23.5,Northwestern -23.5,Correct
Boston College,California,24.0,28.0,-4.0,-5.0,California -5.0,Correct
Valdosta State,UNC Pembroke,0.0,31.0,-31.0,2.5,Valdosta State -2.5,Wrong
Lake Erie,Tiffin,14.0,27.0,-13.0,-41.0,Tiffin -41.0,Correct
Montana State,Eastern Washington,57.0,3.0,54.0,27.5,Montana State -27.5,Correct
Air Force,Hawai'i,35.0,44.0,-9.0,-0.5,Hawai'i -0.5,Correct
Livingstone,Lincoln (PA),31.0,7.0,24.0,34.0,Livingstone -34.0,Correct
CSU Pueblo,Adams State,55.0,7.0,48.0,39.5,CSU Pueblo -39.5,Correct
Western Illinois,Eastern Illinois,23.0,31.0,-8.0,-10.0,Eastern Illinois -10.0,Correct
San Diego,St. Thomas (MN),30.0,27.0,3.0,-13.0,St. Thomas (MN) -13.0,Wrong
Tulsa,Tulane,14.0,31.0,-17.0,-7.5,Tulane -7.5,Correct
New Mexico,New Mexico State,38.0,20.0,18.0,-1.0,New Mexico State -1.0,Wrong
Southern Nazarene,Southeastern Oklahoma State,21.0,27.0,-6.0,7.0,Southern Nazarene -7.0,Wrong
Catawba,Southern Connecticut State,63.0,23.0,40.0,11.5,Catawba -11.5,Correct
Walsh,Ohio Dominican,14.0,7.0,7.0,-9.5,Ohio Dominican -9.5,Wrong
South Dakota Mines,Fort Lewis,22.0,21.0,1.0,-20.0,Fort Lewis -20.0,Wrong
Mississippi State,Tennessee,34.0,41.0,-7.0,-10.5,Tennessee -10.5,Correct
Tennessee State,Tennessee Tech,8.0,35.0,-27.0,-37.0,Tennessee Tech -37.0,Correct
Montclair State,Wilkes,21.0,24.0,-3.0,6.0,Montclair State -6.0,Wrong
Union (NY),St. Lawrence,44.0,12.0,32.0,15.5,Union (NY) -15.5,Correct
Portland State,Northern Arizona,17.0,31.0,-14.0,-13.5,Northern Arizona -13.5,Correct
Mississippi Valley State,Texas Southern,20.0,23.0,-3.0,-3.5,Texas Southern -3.5,Correct
East Tennessee State,Mercer,34.0,38.0,-4.0,1.5,East Tennessee State -1.5,Wrong
LYONCOLL,Westminster College (MO),38.0,24.0,14.0,-9.5,Westminster College (MO) -9.5,Wrong
Old Dominion,Liberty,21.0,7.0,14.0,36.5,Old Dominion -36.5,Correct
Chattanooga,The Citadel,10.0,28.0,-18.0,11.5,Chattanooga -11.5,Wrong
Savannah St,Kentucky State,20.0,37.0,-17.0,7.0,Savannah St -7.0,Wrong
Albion,Trine University,35.0,38.0,-3.0,-0.5,Trine University -0.5,Correct
Kennesaw State,Middle Tennessee,24.0,16.0,8.0,23.0,Kennesaw State -23.0,Correct
Lenoir-Rhyne,Newberry,17.0,20.0,-3.0,11.5,Lenoir-Rhyne -11.5,Wrong
Harvard,Brown,41.0,7.0,34.0,-7.0,Brown -7.0,Wrong
Slippery Rock,PennWest California,38.0,45.0,-7.0,-7.5,PennWest California -7.5,Correct
Charleston Southern,South Carolina State,31.0,24.0,7.0,-16.0,South Carolina State -16.0,Wrong
Eastern Kentucky,Nicholls,27.0,7.0,20.0,0.5,Eastern Kentucky -0.5,Correct
Wingate,Carson-Newman College,14.0,21.0,-7.0,-4.0,Carson-Newman College -4.0,Correct
Bucknell,St. Francis (PA),30.0,23.0,7.0,20.0,Bucknell -20.0,Correct
Edward Waters,Morehouse College,27.0,24.0,3.0,42.0,Edward Waters -42.0,Correct
Western Michigan,Rhode Island,47.0,14.0,33.0,7.5,Western Michigan -7.5,Correct
Lamar,Central Arkansas,35.0,32.0,3.0,17.0,Lamar -17.0,Correct
Southwest Baptist,Missouri S&T,40.0,42.0,-2.0,34.0,Southwest Baptist -34.0,Wrong
West Virginia Wesleyan,Frostburg State,9.0,55.0,-46.0,-26.5,Frostburg State -26.5,Correct
Northwestern Oklahoma State,East Central (OK),20.0,41.0,-21.0,-15.5,East Central (OK) -15.5,Correct
North Park,Elmhurst,34.0,6.0,28.0,38.5,North Park -38.5,Correct
Hendrix College,Rhodes College,47.0,28.0,19.0,-9.5,Rhodes College -9.5,Wrong
Arkansas Tech,Arkansas-Monticello,24.0,31.0,-7.0,49.5,Arkansas Tech -49.5,Wrong
