"Season","Week","SeasonType","StartDate","Completed","HomeTeam","HomePoints","AwayTeam","AwayPoints"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Texas Southern","21","Prairie View A&M","22"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","BYU","69","Portland State","0"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Missouri Southern State","33","Midwestern State","19"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","San Diego","17","Cal Poly","41"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Louisiana","12","Rice","14"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Tulsa","35","Abilene Christian","7"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","Texas State","52","Eastern Michigan","27"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","North Texas","51","Lamar","0"
"2025","1","regular","2025-08-31T00:00:00.000Z","true","UT Rio Grande Valley","66","Sul Ross State","0"
"2025","1","regular","2025-08-31T00:30:00.000Z","true","Southern Utah","46","Idaho State","24"
"2025","1","regular","2025-08-31T01:00:00.000Z","true","SMU","42","East Texas A&M","13"
"2025","1","regular","2025-08-31T01:00:00.000Z","true","New Mexico State","19","Bryant","3"
"2025","1","regular","2025-08-31T01:30:00.000Z","true","Fresno State","42","Georgia Southern","14"
"2025","1","regular","2025-08-31T02:00:00.000Z","true","Arizona State","38","Northern Arizona","19"
"2025","1","regular","2025-08-31T02:00:00.000Z","true","Washington State","13","Idaho","10"
"2025","1","regular","2025-08-31T02:00:00.000Z","true","Utah Tech","24","UC Davis","31"
"2025","1","regular","2025-08-31T02:30:00.000Z","true","Arizona","40","Hawai'i","6"
"2025","1","regular","2025-08-31T02:30:00.000Z","true","Oregon State","15","California","34"
"2025","1","regular","2025-08-31T03:00:00.000Z","true","Washington","38","Colorado State","21"
"2025","1","regular","2025-08-31T03:00:00.000Z","true","UCLA","10","Utah","43"
"2025","1","regular","2025-08-31T19:00:00.000Z","true","South Carolina","24","Virginia Tech","11"
