HomeTeam,AwayTeam,Week,Line,Spread
St. Thomas (MN),Presbyterian,12,St. Thomas (MN) -5.5,5.5
Southern,Texas Southern,12,Texas Southern -10.5,-10.5
Jackson State,Bethune-Cookman,12,Jackson State -8.5,8.5
Prairie View A&M,Arkansas-Pine Bluff,12,Prairie View A&M -7.0,7.0
Mississippi Valley State,Alabama State,12,Alabama State -25.5,-25.5
Portland State,Montana,12,Montana -31.0,-31.0
Wake Forest,North Carolina,12,Wake Forest -14.0,14.0
Illinois,Maryland,12,Illinois -11.5,11.5
USC,Iowa,12,USC -5.5,5.5
Texas Tech,UCF,12,Texas Tech -22.0,22.0
Cincinnati,Arizona,12,Arizona -3.0,-3.0
BYU,TCU,12,BYU -6.0,6.0
Duke,Virginia,12,Virginia -3.0,-3.0
Boston College,Georgia Tech,12,Georgia Tech -22.5,-22.5
Northwestern,Michigan,12,Michigan -10.5,-10.5
Michigan State,Penn State,12,Penn State -8.0,-8.0
LSU,Arkansas,12,LSU -10.0,10.0
Georgia,Texas,12,Georgia -6.0,6.0
Alabama,Oklahoma,12,Alabama -0.5,0.5
Wagner,Stonehill,12,Stonehill -4.0,-4.0
Mercyhurst,Robert Morris,12,Mercyhurst -6.5,6.5
Indiana,Wisconsin,12,Indiana -33.0,33.0
Sam Houston,Delaware,12,Delaware -12.5,-12.5
Georgia Southern,Coastal Carolina,12,Coastal Carolina -3.0,-3.0
James Madison,App State,12,James Madison -17.5,17.5
UL Monroe,South Alabama,12,South Alabama -4.0,-4.0
Southern Miss,Texas State,12,Southern Miss -8.5,8.5
Washington,Purdue,12,Washington -18.0,18.0
Georgia State,Marshall,12,Marshall -13.0,-13.0
Western Kentucky,Middle Tennessee,12,Western Kentucky -12.0,12.0
East Carolina,Memphis,12,East Carolina -1.0,1.0
UAB,North Texas,12,North Texas -23.0,-23.0
Missouri State,UTEP,12,Missouri State -7.0,7.0
Charlotte,UTSA,12,UTSA -23.0,-23.0
Tulane,Florida Atlantic,12,Tulane -18.0,18.0
Ball State,Eastern Michigan,12,Ball State -4.5,4.5
Tulsa,Oregon State,12,Oregon State -2.5,-2.5
Jacksonville State,Kennesaw State,12,Kennesaw State -14.0,-14.0
Missouri,Mississippi State,12,Missouri -3.5,3.5
Texas A&M,South Carolina,12,Texas A&M -20.5,20.5
Ohio State,UCLA,12,Ohio State -26.5,26.5
Fresno State,Wyoming,12,Fresno State -0.5,0.5
Florida International,Liberty,12,Liberty -5.0,-5.0
Ole Miss,Florida,12,Ole Miss -9.5,9.5
Princeton,Yale,12,Yale -11.0,-11.0
Marist,Davidson,12,Marist -16.0,16.0
UConn,Air Force,12,UConn -6.0,6.0
Navy,South Florida,12,South Florida -12.5,-12.5
Bucknell,Holy Cross,12,Holy Cross -4.0,-4.0
Harvard,Pennsylvania,12,Harvard -20.5,20.5
Maryville College (TN),Trinity University TX,12,Pick'em,0.0
Columbia,Brown,12,Brown -9.5,-9.5
Millersville,Edinboro University,12,Edinboro University -19.5,-19.5
Kutztown University,Indiana-Pennsylvania,12,Kutztown University -11.0,11.0
Findlay,Tiffin,12,Findlay -3.0,3.0
St John Fisher University,Alfred State,12,St John Fisher University -7.5,7.5
Anna Maria College,Dean College,12,Anna Maria College -39.0,39.0
Hartwick,Hilbert College,12,Hartwick -17.5,17.5
Sacred Heart,Merrimack,12,Pick'em,0.0
Davenport,Ferris State,12,Ferris State -25.5,-25.5
Michigan Tech,Saginaw Valley State,12,Michigan Tech -11.0,11.0
Dayton,Drake,12,Drake -6.5,-6.5
Youngstown State,Indiana State,12,Youngstown State -2.0,2.0
UAlbany,Towson,12,Towson -17.0,-17.0
North Carolina A&T,Monmouth,12,Monmouth -29.0,-29.0
Bryant,New Hampshire,12,New Hampshire -13.0,-13.0
Wilkes,Western Connecticut St,12,Pick'em,0.0
Ithaca College,Cortland,12,Cortland -16.0,-16.0
West Virginia State,University Of Charleston (WV),12,University Of Charleston (WV) -4.0,-4.0
Fairmont State,Frostburg State,12,Frostburg State -15.0,-15.0
West Liberty,Wheeling,12,Wheeling -6.5,-6.5
Bentley,American International,12,Bentley -9.5,9.5
Pace,Franklin Pierce,12,Franklin Pierce -18.5,-18.5
Duquesne,Central Connecticut,12,Duquesne -1.5,1.5
Worcester St,Framingham State,12,Framingham State -11.5,-11.5
UMass Dartmouth,Plymouth State,12,Plymouth State -3.0,-3.0
Bridgewater State,Mass Maritime,12,Pick'em,0.0
Delaware Valley,Widener,12,Delaware Valley -17.5,17.5
FDU-Florham,Reading,12,FDU-Florham -1.5,1.5
West Chester,Assumption,12,Assumption -10.0,-10.0
Bloomsburg,Slippery Rock,12,Slippery Rock -20.5,-20.5
Worcester Polytechnic Institute,Salve Regina,12,Salve Regina -17.0,-17.0
Endicott College,Curry College,12,Endicott College -20.0,20.0
Walsh,Northwood (MI),12,Northwood (MI) -10.5,-10.5
Northwestern (MN),Westminster College (MO),12,Northwestern (MN) -9.5,9.5
Coast Guard,Merchant Marine Academy,12,Pick'em,0.0
Ursinus,Carnegie Mellon,12,Carnegie Mellon -17.5,-17.5
Otterbein,Ohio Northern,12,Ohio Northern -35.0,-35.0
Fitchburg State,Westfield State,12,Fitchburg State -1.0,1.0
Misericordia,Kings College (PA),12,Misericordia -5.5,5.5
Albright,Lebanon Valley,12,Lebanon Valley -10.0,-10.0
Biddeford,New England College,12,Biddeford -51.5,51.5
Shepherd,Seton Hill,12,Shepherd -9.5,9.5
Norfolk State,Morgan State,12,Morgan State -6.0,-6.0
Murray State,North Dakota,12,North Dakota -33.5,-33.5
Western Carolina,East Tennessee State,12,East Tennessee State -0.5,-0.5
Moravian,Susquehanna,12,Susquehanna -36.0,-36.0
McDaniel College,Gettysburg,12,Gettysburg -2.0,-2.0
Lake Forest College,Chicago,12,Chicago -6.0,-6.0
Lawrence University,Ripon,12,Ripon -14.5,-14.5
Saint John's (MN),St. Olaf,12,Saint John's (MN) -30.5,30.5
Gustavus Adolphus,Macalester,12,Gustavus Adolphus -10.5,10.5
Carleton,Concordia Moorhead,12,Carleton -8.0,8.0
Augsburg,Hamline University,12,Augsburg -26.0,26.0
William Paterson,Montclair State,12,Montclair State -6.0,-6.0
Springfield,SUNY Maritime,12,Springfield -13.0,13.0
Stevenson,Eastern University,12,Eastern University -5.5,-5.5
St. Lawrence,University of Rochester (NY),12,University of Rochester (NY) -17.5,-17.5
Greenville,Crown College,12,Crown College -5.5,-5.5
Muhlenberg,Dickinson (PA),12,Muhlenberg -13.0,13.0
Western New England,Nichols College,12,Western New England -18.5,18.5
Washington & Jefferson,Thiel,12,Washington & Jefferson -43.0,43.0
Saint Vincent,Westminster (PA),12,Westminster (PA) -27.5,-27.5
Allegheny,Bethany (WV),12,Allegheny -22.5,22.5
Shenandoah,Washington and Lee,12,Washington and Lee -2.5,-2.5
Randolph-Macon,Hampden-Sydney,12,Hampden-Sydney -8.5,-8.5
Averett,Roanoke College,12,Roanoke College -26.0,-26.0
Wittenberg,Kenyon,12,Wittenberg -22.5,22.5
Ohio Wesleyan,Oberlin,12,Ohio Wesleyan -37.5,37.5
Hiram College,Grove City College,12,Grove City College -38.0,-38.0
Denison University,John Carroll University,12,John Carroll University -17.0,-17.0
Concordia-Wisconsin,Eureka College,12,Concordia-Wisconsin -44.5,44.5
Concordia University Chicago,Aurora,12,Aurora -28.5,-28.5
Hope College,Olivet College,12,Hope College -51.5,51.5
